observation_date,CPALTT01USA657N
1956-01-01,1.52505446623092000
1957-01-01,3.34150827713059018
1958-01-01,2.72916048650249010
1959-01-01,1.01068437770720010
1960-01-01,1.45797598627787983
1961-01-01,1.07072414764724999
1962-01-01,1.19877334820185011
1963-01-01,1.23966942148760007
1964-01-01,1.27891156462585021
1965-01-01,1.58516926383660994
1966-01-01,3.01507537688446003
1967-01-01,2.77278562259306005
1968-01-01,4.27179615288534009
1969-01-01,5.46238620028748034
1970-01-01,5.83825533848251066
1971-01-01,4.29276668813048978
1972-01-01,3.27227824655283017
1973-01-01,6.17776006377040066
1974-01-01,11.05480480480479955
1975-01-01,9.14314686496534712
1976-01-01,5.74481263549083909
1977-01-01,6.50168399472838043
1978-01-01,7.63096383885604013
1979-01-01,11.25447112927949966
1980-01-01,13.54920197496839940
1981-01-01,10.33471534027709993
1982-01-01,6.13142700027496002
1983-01-01,3.21243523316060964
1984-01-01,4.30053547523428925
1985-01-01,3.54564415209368988
1986-01-01,1.89804772234272989
1987-01-01,3.66456321751691982
1988-01-01,4.07774110744408969
1989-01-01,4.82700303008946019
1990-01-01,5.39795643990321050
1991-01-01,4.23496396453855084
1992-01-01,3.02881967814969011
1993-01-01,2.95165696638555985
1994-01-01,2.60744159215458993
1995-01-01,2.80541968853655987
1996-01-01,2.93120419993437986
1997-01-01,2.33768993730739005
1998-01-01,1.55227909874365011
1999-01-01,2.18802719697358983
2000-01-01,3.37685727149930992
2001-01-01,2.82617111885405015
2002-01-01,1.58603162650599994
2003-01-01,2.27009497336115995
2004-01-01,2.67723669309172019
2005-01-01,3.39274684549546013
2006-01-01,3.22594410070407989
2007-01-01,2.85267248150139041
2008-01-01,3.83910029665099062
2009-01-01,-0.35554626629973091
2010-01-01,1.64004344238986999
2011-01-01,3.15684156862208010
2012-01-01,2.06933726526058992
2013-01-01,1.46483265562713982
2014-01-01,1.62222297740821997
2015-01-01,0.11862713555245100
2016-01-01,1.26158320570534999
2017-01-01,2.13011000365961012
2018-01-01,2.44258329692820997
2019-01-01,1.81221007526011046
2020-01-01,1.23358439630639993
2021-01-01,4.69785886363735994
2022-01-01,8.00279982052119010
2023-01-01,4.11633838374491745
